Zone,region_fr,province_fr,cercle_fr,code_commune,commune_fr,douar_mere,code_localite,nom_fr,nom_ar,type_localite,milieu,population,menage,full_address,Latitude,Longitude,Google Maps Link
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410417,Ida Ou Gailal,095410417012,9541041701207,Lfarch,الفرش,sous-douar,rural,117,14,"Lfarch, Ida Ou Gailal, Taroudannt",30.6388469,-8.6339358,"https://www.google.com/maps/?q=30.63884690,-8.63393580"
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410421,Ida Ougoummad,-,95410421012,Irk Noufella,إرك نوفلا,douar,rural,277,47,"Irk Noufella, Ida Ougoummad, Taroudannt",30.7516692,-8.2209561,"https://www.google.com/maps/?q=30.75166920,-8.22095610"
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410421,Ida Ougoummad,-,95410421016,Tagadirt Nbahmouch,تكاديرت نباحموش,douar,rural,260,42,"Tagadirt Nbahmouch, Ida Ougoummad, Taroudannt",29.7968936,-8.7570658,"https://www.google.com/maps/?q=29.79689360,-8.75706580"
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410425,Igoudar Mnabha,-,95410425004,Chrayr,الشراير,douar,rural,705,105,"Chrayr, Igoudar Mnabha, Taroudannt",30.6146989,-8.447899,"https://www.google.com/maps/?q=30.61469890,-8.44789900"
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410435,Ouneine,-,95410435002,Aghilas,أغيلاس,douar,rural,124,20,"Aghilas, Ouneine, Taroudannt",30.868453,-8.185976499999999,"https://www.google.com/maps/?q=30.86845300,-8.18597650"
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410435,Ouneine,-,95410435005,Ait Yassine,أيت ياسين,douar,rural,180,44,"Ait Yassine, Ouneine, Taroudannt",30.905473,-8.1451218,"https://www.google.com/maps/?q=30.90547300,-8.14512180"
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410435,Ouneine,-,95410435007,Anzi,أنزي,douar,rural,318,49,"Anzi, Ouneine, Taroudannt",30.851397,-8.188836499999999,"https://www.google.com/maps/?q=30.85139700,-8.18883650"
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410435,Ouneine,-,95410435011,Sidi Ali Oubrahim,سيدي علي أوبراهيم,douar,rural,40,8,"Sidi Ali Oubrahim, Ouneine, Taroudannt",30.804043,-8.2496706,"https://www.google.com/maps/?q=30.80404300,-8.24967060"
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410435,Ouneine,-,95410435013,Taliouine Nait Lmimoune,تالوين نايت لميمون,douar,rural,86,16,"Taliouine Nait Lmimoune, Ouneine, Taroudannt",30.5312657,-7.923878499999999,"https://www.google.com/maps/?q=30.53126570,-7.92387850"
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410435,Ouneine,-,95410435020,Tasguint,تسكينت,douar,rural,113,17,"Tasguint, Ouneine, Taroudannt",30.75221579999999,-8.845234699999999,"https://www.google.com/maps/?q=30.75221580,-8.84523470"
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410435,Ouneine,-,95410435025,Arbaa Tamterga,أربعاء تمتركا,douar,rural,200,56,"Arbaa Tamterga, Ouneine, Taroudannt",30.8836059,-8.2035278,"https://www.google.com/maps/?q=30.88360590,-8.20352780"
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410435,Ouneine,-,95410435037,Tamarourt,تمارورت,douar,rural,35,7,"Tamarourt, Ouneine, Taroudannt",30.8989606,-8.2187431,"https://www.google.com/maps/?q=30.89896060,-8.21874310"
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410435,Ouneine,-,95410435046,Toug Lkhir,توك الخير,douar,rural,215,31,"Toug Lkhir, Ouneine, Taroudannt",30.4764456,-8.8691274,"https://www.google.com/maps/?q=30.47644560,-8.86912740"
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410435,Ouneine,-,95410435055,Tagadirt Nizemrane,تكاديرت نيزمران,douar,rural,20,5,"Tagadirt Nizemrane, Ouneine, Taroudannt",30.8610294,-8.1943027,"https://www.google.com/maps/?q=30.86102940,-8.19430270"
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410439,Sidi Abdellah Ou Said,-,95410439001,Ait Amer,أيت عمر,douar,rural,87,16,"Ait Amer, Sidi Abdellah Ou Said, Taroudannt",30.7533674,-8.6830796,"https://www.google.com/maps/?q=30.75336740,-8.68307960"
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410439,Sidi Abdellah Ou Said,-,95410439023,Tawart,توارت,douar,rural,65,14,"Tawart, Sidi Abdellah Ou Said, Taroudannt",30.8388098,-8.665903,"https://www.google.com/maps/?q=30.83880980,-8.66590300"
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410447,Sidi Ouaaziz,-,95410447001,Agadir Yatine,أكادير ياتين,douar,rural,55,10,"Agadir Yatine, Sidi Ouaaziz, Taroudannt",30.7094386,-8.340331299999999,"https://www.google.com/maps/?q=30.70943860,-8.34033130"
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410447,Sidi Ouaaziz,-,95410447003,Agadir Nouaaraben,أكادير نواعرابن,douar,rural,63,11,"Agadir Nouaaraben, Sidi Ouaaziz, Taroudannt",30.6866448,-8.320307999999999,"https://www.google.com/maps/?q=30.68664480,-8.32030800"
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410447,Sidi Ouaaziz,-,95410447005,Ait Ali Touloua,أيت علي تولوا,douar,rural,132,21,"Ait Ali Touloua, Sidi Ouaaziz, Taroudannt",30.724454,-8.3148325,"https://www.google.com/maps/?q=30.72445400,-8.31483250"
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410447,Sidi Ouaaziz,-,95410447010,Ait Hmid,أيت حميد,douar,rural,43,9,"Ait Hmid, Sidi Ouaaziz, Taroudannt",30.7242173,-8.3240727,"https://www.google.com/maps/?q=30.72421730,-8.32407270"
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410447,Sidi Ouaaziz,-,95410447012,Ait Maala Tametmazer,أيت معلا تامتمازر,douar,rural,44,7,"Ait Maala Tametmazer, Sidi Ouaaziz, Taroudannt",30.4727126,-8.8748765,"https://www.google.com/maps/?q=30.47271260,-8.87487650"
10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,95410447,Sidi Ouaaziz,-,95410447021,Amghaz,أمغاز,douar,rural,77,18,"Amghaz, Sidi Ouaaziz, Taroudannt",30.7765023,-8.3206502,"https://www.google.com/maps/?q=30.77650230,-8.32065020"
